Feature,Importance
value_risk_score,0.516419993345988
value_weight_ratio,0.10820674260483029
log_value_weight_ratio,0.09810791480132602
is_underweight,0.027246710456323035
overall_complexity_index,0.008248841084342673
historical_violation_count,0.008122759129983115
commodity_price_deviation,0.00797379604498803
tax_evasion_prob,0.007917225679932988
blacklist_proximity,0.007794081533937378
seasonal_anomaly_score,0.007774466258173983
transshipment_count,0.007682811967855287
packaging_anomaly,0.007682570544888212
smuggling_network_affinity,0.0076567698902206445
route_risk_rate,0.00762712062198894
shipping_line_risk,0.007562179618417195
port_congestion_delay,0.00753859793514996
importer_behavior_shift,0.007532660714229337
company_age_years,0.007496658295690197
shipment_burst_indicator,0.007474451177658798
trade_route_entropy,0.007298196984642723
hs_code_value_mismatch,0.007258158731094574
entity_trust_score,0.00719161350746452
holiday_rush_indicator,0.007161541078411775
exporter_risk_profile,0.007149776691532968
amendment_frequency,0.007133766085476424
insurance_value_ratio,0.007125817936179248
tariff_anomaly_score,0.00711591506215239
customs_value_discrepancy,0.007042055196286386
network_risk_propagation,0.007000650547710995
documentation_delay_score,0.006988467821045644
volumetric_risk,0.006960799976036606
logistics_delay_risk,0.00692608698001049
route_novelty_score,0.006872462579743564
trade_finance_risk,0.006810671249722479
shell_company_prob,0.00669515482204171
importer_exporter_distance,0.006451068521678848
geo_risk_exposure,0.006368144545962986
seal_tamper_prob,0.006353991383329022
weekend_shipment,0.000588288685460899
multi_jurisdiction_flag,0.00041488375957385087
new_trade_relationship,0.00031587507879623486
night_shipment_indicator,0.00026139292558939446
high_risk_commodity_flag,0.00024219412859123607
unusual_routing_indicator,0.0002066740155410254
